setname,name,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,resolution,rotation,flip,linebreak2,players,move_inputs,special_controls,num_buttons
sidearmsj,"Side Arms- Hyper Dyne (JP, 861128)",Japan,861128,yes,Side Arms,,,no,no,1986,Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
sidearmsu,"Side Arms- Hyper Dyne (US, 861202)",USA,861202,yes,Side Arms,,,no,no,1986,Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
sidearmsur1,"Side Arms- Hyper Dyne (US, 861128)",USA,861128,yes,Side Arms,,,no,no,1986,Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
slammast,"Saturday Night Slam Masters (W, 930713)",World,930713,no,,Capcom CPS-1.5,Slam Masters,no,no,1993,Capcom,Sports,,15kHz,horizontal,n/a,,4,8-way,,3
slammastu,"Saturday Night Slam Masters (US, 930713)",USA,930713,yes,Slam Masters,Capcom CPS-1.5,Slam Masters,no,no,1993,Capcom,Sports,,15kHz,horizontal,n/a,,4,8-way,,3
smbomb,"Super Muscle Bomber- The International Blowout (JP, 940831)",Japan,940831,no,,Capcom CPS-2,Muscle Bomber,no,no,1994,Capcom,Sports,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
smbombr1,"Super Muscle Bomber- The International Blowout (JP, 940808)",Japan,940808,yes,Super Muscle Bomber- The International Blowout,Capcom CPS-2,Muscle Bomber,no,no,1994,Capcom,Sports,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
spf2t,"Super Puzzle Fighter II Turbo (EU, 960529)",Europe,960529,no,,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,2
spf2ta,"Super Puzzle Fighter II Turbo (AS, 960529)",Asia,960529,yes,Super Puzzle Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,2
spf2th,"Super Puzzle Fighter II Turbo (HS, 960531)",Hispanic,960531,yes,Super Puzzle Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,2
