setname,name,name_notnice,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,resolution,rotation,flip,linebreak2,players,joystick,special_controls,buttons
pang3b,Pang! 3 [bl],Pang! 3 -bootleg-,,,yes,Pang! 3,Capcom CPS-1,Pang!,no,yes,1995,Capcom,Ball and Paddle,,15kHz,horizontal,n/a,,2 (simultaneous),4-way,,1
pang3j,"Pang! 3- Kaitou Tachi no Karei na Gogo (JP, 920312)",Pang! 3  Kaitou Tachi no Karei na Gogo -Japan 950511-,Japan,920312,yes,Pang! 3,Capcom CPS-1,Pang!,no,no,1995,Capcom,Ball and Paddle,,15kHz,horizontal,n/a,,2 (simultaneous),4-way,,1
pang3r1,"Pang! 3 (EU, 950511)",Pang! 3 -Euro 950511-,Europe,950511,yes,Pang! 3,Capcom CPS-1,Pang!,no,no,1995,Capcom,Ball and Paddle,,15kHz,horizontal,n/a,,2 (simultaneous),4-way,,1
passsht,"Passing Shot (W, 317-0080)","Passing Shot (World, 2 Players) (FD1094 317-0080)",World,"2 Players, FD1094 317-0080",no,,Sega System 16B,,no,no,1988,Sega,Sports,,15kHz,vertical (ccw),no,,2 (simultaneous),8-way,,4
passsht16a,"Passing Shot (JP, 4P 317-0071)","Passing Shot (Japan, 4p, S16A) [FD1094 317-0071]",World,"2 Players, FD1094 317-0080",yes,Passing Shot,Sega System 16B,,no,no,1988,Sega,Sports,,15kHz,vertical (ccw),no,,4,8-way,,4
pfghtj,"Pocket Fighter (JP, 970904)",Pocket Fighter (Japan 970904),Japan,970904,yes,Pocket Fighter,Capcom CPS-2,Street Fighter,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,3
pgear,"Powered Gear- Strategic Variant Armor Equipment (JP, 980124)",Powered Gear Strategic Variant Armor Equipment (Japan 941024),Japan,980124,yes,Armored Warriors,Capcom CPS-2,,no,no,1994,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,3,8-way,n/a,3
pgearr1,"Powered Gear- Strategic Variant Armor Equipment (JP, 940916)",Powered Gear Strategic Variant Armor Equipment (Japan 940916),Japan,940916,yes,Armored Warriors,Capcom CPS-2,,no,no,1994,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,3,8-way,n/a,3
pnickj,"Pnickies (JP, 940608)",Pnickies -Japan 940608-,Japan,940608,no,,Capcom CPS-1,,no,no,1994,Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
pokonyan,"Pokonyan! Balloon (JP, 940322)",Pokonyan! Balloon -Japan 940322-,Japan,940322,no,,Capcom CPS-1,,no,no,1994,Capcom,Shooter - Vertical,,15kHz,horizontal,n/a,,1,8-way,,3
progear,"Progear (US, 010117, Second Loop) [hb]",Progear (USA 010117) [Second Loop],USA,"010117, Second Loop",yes,Progear,Capcom CPS-2,,yes,no,2001,Cave / Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,3
progear,"Progear (US, 010117)",Progear (USA 010117),USA,010117,no,,Capcom CPS-2,,no,no,2001,Cave / Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,3
progeara,"Progear (AS, 010117)",Progear (Asia 010117),Asia,010117,yes,Progear,Capcom CPS-2,,no,no,2001,Cave / Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,3
progearj,"Progear no Arashi (Japan 010117) [Second Loop] (JP, 010117, Second Loop) [hb]",Progear no Arashi (Japan 010117) [Second Loop],Japan,"010117, Second Loop",yes,Progear,Capcom CPS-2,,yes,no,2001,Cave / Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,3
progearj,"Progear no Arashi (JP, 010117)",Progear no Arashi (Japan 010117),Japan,010117,yes,Progear,Capcom CPS-2,,no,no,2001,Cave / Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,3
progearj,"Progear Red Label- Halfway to Hell (JP, 160117)",Progear Red Label Halfway to Hell (Japan 160117),Japan,160117,yes,Progear,Capcom CPS-2,,no,no,2001,Cave / Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,3
punisher,"The Punisher (W, 930422)",The Punisher (World 930422),World,930422,no,,Capcom CPS-1.5,,no,no,1993,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,2
punisherbz,"Biaofeng Zhanjing (The Punisher, CPS1, Chinese) [bl]",Biaofeng Zhanjing -Chinese bootleg of The Punisher-,,"The Punisher, CPS1, Chinese",yes,The Punisher,Capcom CPS-1.5,,no,yes,1993,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,2
punisherbz,"Biaofeng Zhanjing (The Punisher, CPS1.5, Chinese) [bl]",Biaofeng Zhanjing (Chinese bootleg of The Punisher),,"The Punisher, CPS1.5, Chinese",yes,The Punisher,Capcom CPS-1.5,,no,yes,1993,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,2
punisherh,"The Punisher (HS, 930422)",The Punisher (Hispanic 930422),Hispanic,930422,yes,The Punisher,Capcom CPS-1.5,,no,no,1993,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,2
punisherj,"The Punisher (JP, 930422)",The Punisher (Japan 930422),Japan,930422,yes,The Punisher,Capcom CPS-1.5,,no,no,1993,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,2
